,city_id,city_name,cloudiness_pct,country_cd,date,humidity,city_lat,city_lng,max_temp,wind_speed,date_time
182,4034438,Haapiti,70,PF,1621361553,70,-17.5667,-149.8667,82.13,20.69,2021-05-18 18:12:33
183,3089670,Ostrzeszów,100,PL,1621361539,88,51.4264,17.9336,55.96,11.48,2021-05-18 18:12:19
184,3471451,Arraial do Cabo,75,BR,1621361554,65,-22.9661,-42.0278,76.86,4.61,2021-05-18 18:12:34
185,2063042,Port Hedland,90,AU,1621361554,73,-20.3167,118.5667,68.05,5.75,2021-05-18 18:12:34
186,3471940,Aparecida do Taboado,0,BR,1621361290,29,-20.0867,-51.0936,87.24,4.88,2021-05-18 18:08:10
187,3664980,Boa Vista,75,BR,1621361555,55,2.8197,-60.6733,89.58,10.36,2021-05-18 18:12:35
188,5587698,Caldwell,1,US,1621361430,34,43.6629,-116.6874,70.18,14.97,2021-05-18 18:10:30
189,5808079,Redmond,62,US,1621361555,67,47.674,-122.1215,58.73,5.01,2021-05-18 18:12:35
190,2168305,Dubbo,0,AU,1621361556,93,-32.25,148.6167,37.53,8.05,2021-05-18 18:12:36
191,3421982,Maniitsoq,37,GL,1621361556,84,65.4167,-52.9,37.04,15.66,2021-05-18 18:12:36
192,3870282,Talcahuano,75,CL,1621361556,77,-36.7167,-73.1167,58.68,20.71,2021-05-18 18:12:36
193,1651810,Airai,99,TL,1621361557,92,-8.9266,125.4092,57.9,2.8,2021-05-18 18:12:37
194,2122605,Okhotsk,100,RU,1621361557,92,59.3833,143.3,30.52,2.59,2021-05-18 18:12:37
195,927643,Machinga,56,MW,1621361558,59,-15.1685,35.3,66.47,6.53,2021-05-18 18:12:38
196,2159220,Mackay,59,AU,1621361558,77,-21.15,149.2,68.04,18.21,2021-05-18 18:12:38
197,713676,Oleksandrivka,34,UA,1621361558,84,46.8383,32.7612,59.22,13.73,2021-05-18 18:12:38
198,3883457,Lebu,100,CL,1621361559,73,-37.6167,-73.65,58.71,17.18,2021-05-18 18:12:39
199,5554428,Ketchikan,1,US,1621361559,58,55.3422,-131.6461,52.27,8.05,2021-05-18 18:12:39
200,2527087,Tiznit Province,100,MA,1621361560,39,29.5833,-9.5,80.26,6.11,2021-05-18 18:12:40
201,610864,Khani,5,GE,1621361560,75,41.9563,42.9566,54.97,6.55,2021-05-18 18:12:40
202,2629833,Husavik,89,IS,1621361560,68,66.0449,-17.3389,35.51,8.14,2021-05-18 18:12:40
203,3174856,Lerici,87,IT,1621361561,74,44.0759,9.9112,62.78,1.99,2021-05-18 18:12:41
204,584365,Abrau-Dyurso,91,RU,1621361561,95,44.69,37.59,62.06,9.1,2021-05-18 18:12:41
205,210379,Lusambo,88,CD,1621361562,63,-4.9667,23.45,76.48,1.83,2021-05-18 18:12:42
206,2120769,Talaya,99,RU,1621361563,86,61.3833,152.75,31.57,5.91,2021-05-18 18:12:43
207,3628473,San Cristobal,100,VE,1621361335,52,7.7669,-72.225,80.78,6.71,2021-05-18 18:08:55
208,921889,Fomboni,16,KM,1621361563,68,-12.28,43.7425,81.5,21.07,2021-05-18 18:12:43
209,1278935,Amalāpuram,33,IN,1621361564,83,16.5833,82.0167,83.53,4.72,2021-05-18 18:12:44
210,5563397,Eureka,84,US,1621361362,85,40.8021,-124.1637,61.66,1.99,2021-05-18 18:09:22
211,4031742,Egvekinot,100,RU,1621361564,97,66.3167,-179.1667,26.4,5.08,2021-05-18 18:12:44
212,5380437,Pacific Grove,40,US,1621361564,78,36.6177,-121.9166,71.15,5.01,2021-05-18 18:12:44
